date,grid_load_mwh,grid_load_incl_pumped_mwh,residual_load_mwh
2025-01-16,1545104.0,1575202.0,1289963.0
2025-01-17,1544152.0,1574975.0,1357403.0
2025-01-18,1324961.0,1343942.0,1172157.0
2025-01-19,1252943.0,1292423.0,1009823.0
2025-01-20,1518645.0,1546405.0,1322398.0
2025-01-21,1531658.0,1571320.0,1291236.0
2025-01-22,1508916.0,1536660.0,1121180.0
2025-01-23,1526153.0,1555266.0,747150.0
2025-01-24,1486932.0,1545260.0,520232.0
2025-01-25,1292432.0,1312205.0,670278.0
2025-01-26,1193862.0,1213174.0,729020.0
2025-01-27,1484312.0,1543746.0,522782.0
2025-01-28,1483767.0,1513305.0,827640.0
2025-01-29,1491606.0,1544881.0,676517.0
2025-01-30,1486554.0,1513576.0,1046112.0
2025-01-31,1457846.0,1491004.0,1002330.0
2025-02-01,1258505.0,1290615.0,1025674.0
2025-02-02,1215842.0,1250357.0,1025461.0
2025-02-03,1477660.0,1494212.0,1281729.0
2025-02-04,1536943.0,1562691.0,1159609.0
2025-02-05,1555798.0,1587566.0,1171454.0
2025-02-06,1512802.0,1535125.0,1257803.0
2025-02-07,1528301.0,1568300.0,655260.0
2025-02-08,1319652.0,1358927.0,653283.0
2025-02-09,1245012.0,1263407.0,810683.0
2025-02-10,1539663.0,1561921.0,836472.0
2025-02-11,1580242.0,1613994.0,880242.0
2025-02-12,1560452.0,1589316.0,1088561.0
2025-02-13,1564519.0,1590731.0,1327874.0
2025-02-14,1524579.0,1554521.0,1395130.0
2025-02-15,1307377.0,1322885.0,1197553.0
2025-02-16,1256915.0,1309868.0,918512.0
2025-02-17,1493540.0,1524910.0,1190582.0
2025-02-18,1527675.0,1554963.0,1048980.0
2025-02-19,1533208.0,1570232.0,722453.0
2025-02-20,1543620.0,1566096.0,856560.0
2025-02-21,1436871.0,1471249.0,737981.0
2025-02-22,1266830.0,1314403.0,533692.0
2025-02-23,1141098.0,1179853.0,635571.0
2025-02-24,1441009.0,1490554.0,609320.0
2025-02-25,1404482.0,1426692.0,1106847.0
2025-02-26,1434223.0,1466292.0,1170693.0
2025-02-27,1438264.0,1478599.0,1088478.0
2025-02-28,1422234.0,1446296.0,1174657.0
2025-03-01,1244285.0,1262281.0,997259.0
2025-03-02,1182745.0,1223666.0,684315.0
2025-03-03,1405731.0,1445715.0,787525.0
2025-03-04,1447903.0,1484411.0,858415.0
2025-03-05,1447369.0,1488770.0,681183.0
2025-03-06,1398046.0,1436410.0,800514.0
2025-03-07,1329326.0,1373749.0,894438.0
2025-03-08,1146976.0,1193596.0,665457.0
2025-03-09,1099818.0,1146014.0,624959.0
2025-03-10,1344024.0,1376075.0,1046435.0
2025-03-11,1391007.0,1426290.0,1119429.0
2025-03-12,1418159.0,1449047.0,1225762.0
2025-03-13,1431451.0,1462976.0,1192213.0
2025-03-14,1416698.0,1441961.0,1154129.0
2025-03-15,1202482.0,1244026.0,737913.0
2025-03-16,1153089.0,1199064.0,627506.0
2025-03-17,1401572.0,1441026.0,774133.0
2025-03-18,1402289.0,1443131.0,841071.0
2025-03-19,1372994.0,1414753.0,922439.0
2025-03-20,1346672.0,1386470.0,914173.0
2025-03-21,1347446.0,1386542.0,635512.0
2025-03-22,1185538.0,1245546.0,237983.0
2025-03-23,1126025.0,1153691.0,554599.0
2025-03-24,1318667.0,1347006.0,1079571.0
2025-03-25,1388528.0,1432487.0,939443.0
2025-03-26,1399176.0,1421594.0,1016330.0
2025-03-27,1360874.0,1400013.0,904484.0
2025-03-28,1307688.0,1357297.0,749221.0
2025-03-29,1126671.0,1168542.0,647164.0
2025-03-30,1078479.0,1134613.0,203122.0
2025-03-31,1341868.0,1371434.0,759806.0
2025-04-01,1342899.0,1378682.0,764299.0
2025-04-02,1317063.0,1366339.0,478823.0
2025-04-03,1298443.0,1344623.0,614023.0
2025-04-04,1267084.0,1305734.0,751143.0
2025-04-05,1102792.0,1151082.0,396336.0
2025-04-06,1053185.0,1106249.0,424262.0
2025-04-07,1293661.0,1332264.0,757762.0
2025-04-08,1301074.0,1337739.0,888586.0
2025-04-09,1326976.0,1367696.0,805954.0
2025-04-10,1343984.0,1381130.0,766271.0
2025-04-11,1317890.0,1369724.0,540405.0
2025-04-12,1084509.0,1127109.0,537687.0
2025-04-13,1072550.0,1126753.0,345468.0
2025-04-14,1268210.0,1301914.0,802988.0
2025-04-15,1332443.0,1380774.0,561446.0
2025-04-16,1304242.0,1333198.0,807916.0
2025-04-17,1328354.0,1357214.0,783783.0
2025-04-18,1079106.0,1108605.0,748791.0
2025-04-19,1036644.0,1082313.0,652314.0
2025-04-20,950210.0,999442.0,512234.0
2025-04-21,982259.0,1015463.0,671938.0
2025-04-22,1228780.0,1262310.0,897644.0
2025-04-23,1284800.0,1316480.0,907466.0
2025-04-24,1330402.0,1349639.0,936150.0
2025-04-25,1294833.0,1322590.0,957696.0
2025-04-26,1075475.0,1120891.0,487543.0
2025-04-27,997387.0,1046716.0,400313.0
2025-04-28,1231659.0,1274267.0,755637.0
2025-04-29,1263496.0,1301078.0,754080.0
2025-04-30,1231319.0,1270044.0,757818.0
2025-05-01,983001.0,1028621.0,513414.0
2025-05-02,1118996.0,1162823.0,512361.0
2025-05-03,1049218.0,1084302.0,531878.0
2025-05-04,1033232.0,1088357.0,369737.0
2025-05-05,1256328.0,1285882.0,696153.0
2025-05-06,1274750.0,1309239.0,643148.0
2025-05-07,1276998.0,1310712.0,756758.0
2025-05-08,1263721.0,1292331.0,764442.0
2025-05-09,1237717.0,1278349.0,677709.0
2025-05-10,1044517.0,1085164.0,524891.0
2025-05-11,963626.0,1009290.0,309175.0
2025-05-12,1215687.0,1252787.0,402813.0
2025-05-13,1246576.0,1278884.0,625174.0
2025-05-14,1262607.0,1302037.0,564796.0
2025-05-15,1262879.0,1296960.0,495238.0
2025-05-16,1247132.0,1280450.0,578798.0
2025-05-17,1078921.0,1122912.0,452918.0
2025-05-18,1010615.0,1056386.0,463481.0
2025-05-19,1217021.0,1250092.0,733147.0
2025-05-20,1264564.0,1298676.0,729084.0
2025-05-21,1295892.0,1332019.0,507417.0
2025-05-22,1306049.0,1344176.0,465467.0
2025-05-23,1263990.0,1297838.0,508238.0
2025-05-24,1068737.0,1113637.0,345908.0
2025-05-25,1050474.0,1102102.0,329852.0
2025-05-26,1241197.0,1273869.0,539813.0
2025-05-27,1275493.0,1317828.0,473408.0
2025-05-28,1278889.0,1311431.0,522235.0
2025-05-29,1032899.0,1078555.0,415643.0
2025-05-30,1123246.0,1175892.0,307958.0
2025-05-31,1019759.0,1066086.0,566970.0
2025-06-01,991524.0,1044458.0,403146.0
2025-06-02,1259343.0,1294083.0,763637.0
2025-06-03,1262216.0,1308155.0,646858.0
2025-06-04,1309262.0,1352405.0,676752.0
2025-06-05,1272381.0,1309544.0,617597.0
2025-06-06,1272942.0,1329570.0,296861.0
2025-06-07,1047262.0,1089346.0,478812.0
